date,symbol,mean_change_pct,max_high_price,min_low_price,median_volume
2020-03-25,ALL,-2.1063,42.1000,14.8100,1695955
2020-03-26,ALL,-1.3692,42.1000,14.8100,1695955
2020-03-29,ALL,7.0402,42.1000,14.8100,1695955
2020-03-30,ALL,-1.1116,42.1000,14.8100,1695955
2020-03-31,ALL,2.0141,42.1000,14.8100,1695955
2020-04-01,ALL,-1.2856,42.1000,14.8100,1695955
2020-04-02,ALL,-3.8140,42.1000,14.8100,1695955
2020-04-06,ALL,-0.1934,42.1000,14.8100,1695955
2020-04-07,ALL,5.3779,42.1000,14.8100,1695955
2020-04-08,ALL,0.5517,42.1000,14.8100,1695955
2020-04-09,ALL,4.7096,42.1000,14.8100,1695955
2020-04-14,ALL,0.7424,42.1000,14.8100,1695955
2020-04-15,ALL,3.9445,42.1000,14.8100,1695955
2020-04-16,ALL,-6.1718,42.1000,14.8100,1695955
2020-04-17,ALL,4.8889,42.1000,14.8100,1695955
2020-04-20,ALL,-1.0169,42.1000,14.8100,1695955
2020-04-21,ALL,-4.2380,42.1000,14.8100,1695955
2020-04-22,ALL,-3.4421,42.1000,14.8100,1695955
2020-04-23,ALL,1.4352,42.1000,14.8100,1695955
2020-04-24,ALL,-1.1410,42.1000,14.8100,1695955
2020-04-27,ALL,1.8467,42.1000,14.8100,1695955
2020-04-28,ALL,4.1704,42.1000,14.8100,1695955
2020-04-29,ALL,4.2646,42.1000,14.8100,1695955
2020-04-30,ALL,6.3856,42.1000,14.8100,1695955
2020-05-01,ALL,-5.4531,42.1000,14.8100,1695955
2020-05-04,ALL,-0.1245,42.1000,14.8100,1695955
2020-05-05,ALL,2.6174,42.1000,14.8100,1695955
2020-05-06,ALL,-0.5263,42.1000,14.8100,1695955
2020-05-07,ALL,1.7501,42.1000,14.8100,1695955
2020-05-08,ALL,-0.0800,42.1000,14.8100,1695955
2020-05-11,ALL,1.7614,42.1000,14.8100,1695955
2020-05-12,ALL,0.6294,42.1000,14.8100,1695955
2020-05-13,ALL,1.5637,42.1000,14.8100,1695955
2020-05-14,ALL,-1.9630,42.1000,14.8100,1695955
2020-05-15,ALL,-0.9815,42.1000,14.8100,1695955
2020-05-18,ALL,2.6170,42.1000,14.8100,1695955
2020-05-19,ALL,3.5549,42.1000,14.8100,1695955
2020-05-20,ALL,2.0149,42.1000,14.8100,1695955
2020-05-21,ALL,-5.0110,42.1000,14.8100,1695955
2020-05-22,ALL,-1.7328,42.1000,14.8100,1695955
2020-05-25,ALL,1.2931,42.1000,14.8100,1695955
2020-05-26,ALL,3.0561,42.1000,14.8100,1695955
2020-05-27,ALL,0.3003,42.1000,14.8100,1695955
2020-05-28,ALL,0.4491,42.1000,14.8100,1695955
2020-05-29,ALL,-4.1729,42.1000,14.8100,1695955
2020-06-01,ALL,2.9549,42.1000,14.8100,1695955
2020-06-02,ALL,0.1133,42.1000,14.8100,1695955
2020-06-03,ALL,1.5466,42.1000,14.8100,1695955
2020-06-04,ALL,0.9658,42.1000,14.8100,1695955
